Air,0,minecraft:air
Stone,1,minecraft:stone
Granite,1^1,minecraft:granite
Polished Granite,1^2,minecraft:polished_granite
Diorite,1^3,minecraft:diorite
Polished Diorite,1^4,minecraft:polished_diorite
Andesite,1^5,minecraft:andesite
Polished Andesite,1^6,polished_andesite
Grass,2,minecraft:grass
Dirt,3,minecraft:dirt
Cobblestone,4,minecraft:cobblestone
Oak Wood Plank,5,minecraft:planks
Spruce Wood Plank,5^1,minecraft:spruce_planks
Birch Wood Plank,5^2,minecraft:birch_planks
Jungle Wood Plank,5^3,minecraft:jungle_planks
Acacia Wood Plank,5^4,minecraft:acacia_planks
Dark Oak Wood Plank,5^5,minecraft:dark_oak_planks
Bedrock,7,minecraft:bedrock
Gold Ore,14,minecraft:gold_ore
Iron Ore,15,minecraft:iron_ore
Coal Ore,16,minecraft:coal_ore
Oak Wood,17,minecraft:log
Spruce Wood,17^1,minecraft:spruce_log
Birch Wood,17^2,minecraft:birch_log
Jungle Wood,17^3,minecraft:jungle_log
Oak Leaves,18,minecraft:leaves
Spruce Leaves,18^1,minecraft:spruce_leaves
Birch Leaves,18^2,minecraft:birch_leaves
Jungle Leaves,18^3,minecraft:jungle_leaves
Sponge,19,minecraft:sponge
Glass,20,minecraft:glass
Lapis Lazuli Ore,21,minecraft:lapis_ore
Lapis Lazuli Block,22,minecraft:lapis_block
Dispenser,23,minecraft:dispenser
Sandstone,24,minecraft:sandstone
Chiseled Sandstone,24^1,minecraft:chiseled_sandstone
Smooth Sandstone,24^2,minecraft:cut_sandstone
Cobweb,30,minecraft:web
White Wool,35,minecraft:wool
Orange Wool,35^1,minecraft:orange_wool
Magenta Wool,35^2,minecraft:magenta_wool
Light Blue Wool,35^3,minecraft:light_blue_wool
Yellow Wool,35^4,minecraft:yellow_wool
Lime Wool,35^5,minecraft:lime_wool
Pink Wool,35^6,minecraft:pink_wool
Gray Wool,35^7,minecraft:gray_wool
Light Gray Wool,35^8,minecraft:light_gray_wool
Cyan Wool,35^9,minecraft:cyan_wool
Purple Wool,35^10,minecraft:purple_wool
Blue Wool,35^11,minecraft:blue_wool
Brown Wool,35^12,minecraft:brown_wool
Green Wool,35^13,minecraft:green_wool
Red Wool,35^14,minecraft:red_wool
Black Wool,35^15,minecraft:black_wool
Gold Block,41,minecraft:gold_block
Iron Block,42,minecraft:iron_block
Double Stone Slab,43,minecraft:double_stone_slab
Double Sandstone Slab,43^1,minecraft:double_stone_slab
Double Wooden Slab,43^2,minecraft:double_stone_slab
Double Cobblestone Slab,43^3,minecraft:double_stone_slab
Double Brick Slab,43^4,minecraft:double_stone_slab
Double Stone Brick Slab,43^5,minecraft:double_stone_slab
Double Nether Brick Slab,43^6,minecraft:double_stone_slab
Double Quartz Slab,43^7,minecraft:double_stone_slab
Stone Slab,44,minecraft:stone_slab
Sandstone Slab,44^1,minecraft:sandstone_slab
